"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
2,152048.228274135,484128.16002825,1153873.6093954,541243.696046692,324836.163887537,0.600166184401183,2014,NA,105518533369.171
3,705448.486647695,1200523.1964286,2159517.66364716,1280740.06702092,450517.920253521,0.351763743365547,2014,NA,202966396469.558
4,507950.007894155,746224.90475895,1096448.08703053,771003.378041591,181408.447508818,0.235288784297689,2014,NA,32909024827.5596
5,1927191.88916037,2708700.01403,3781285.13021361,2765078.1592268,583416.597127233,0.210994613363976,2014,NA,340374925803.52
6,457658.44527041,709310.0447478,1062574.0382693,724338.990029208,190902.892569985,0.263554627319298,2014,NA,36443914391.5871
7,724299.590275875,1099799.61011655,1609909.22355559,1122373.80583516,272069.375186918,0.242405314319031,2014,NA,74021744914.6
8,1806043.89023557,2627701.31959215,3748737.22996157,2680732.6343745,609859.891194684,0.227497469674735,2014,NA,371929086887.992
9,1594431.06272723,2281293.79650505,3150563.45136774,2300121.55224573,480761.056867233,0.209015500245124,2014,NA,231131193800.099
10,2045117.22718198,2766412.3808774,3874020.61543263,2851707.85443481,552084.384614541,0.193597806225477,2014,NA,304797167735.216
11,834928.177196465,1131370.6862321,1505446.23265434,1143350.18995605,198499.488585916,0.173612153415173,2014,NA,39402046968.8704
12,482335.313815555,709956.374434,992247.70047801,719511.163216899,151440.562882839,0.210477016375613,2014,NA,22934244086.2712
13,200241.1051116,338577.6114799,508227.9625941,346553.446651053,92872.536742884,0.267989072509205,2014,NA,8625308081.05833
14,16726.940573625,72900.8172461,126719.026361115,71398.21339512,32611.892030659,0.456760617386652,2014,NA,1063535501.81936
15,31714.976735785,216375.48983475,418079.21213579,200508.367409042,133459.974909985,0.66560800745898,2014,NA,17811564902.974
16,2646.657275825,9893.5016805,18965.826830685,10105.6762687014,5442.00192849266,0.538509426167475,2014,NA,29615384.9897178
17,0,822.9431304,18633.3831863,5220.7717818118,6909.8917915117,1.32353837330804,2014,NA,47746604.5704008
18,0,476.82607965,1500.721756325,516.0354820856,518.902434166188,1.00555572665081,2014,NA,269259.736183595
NA,0,605.4639854,16494.78494948,3793.267045423,7114.4221550602,1.87553949402127,2014,NA,50615002.6004114
2,41517.0673925,378736.22877585,993621.637309489,420053.962339191,320076.199205241,0.761988286987712,2015,NA,102448773297.673
3,173503.34438447,411896.8452924,810523.32491753,444437.779078888,205464.236702873,0.462301465750064,2015,NA,42215552563.8942
4,744216.04954652,1278632.5183006,1941692.7799931,1310219.01429923,358202.211559592,0.273391095420161,2015,NA,128308824366.183
5,709291.23144256,1124318.44867355,1643425.64412983,1147473.5301283,280679.162728968,0.24460621997754,2015,NA,78780792390.2347
6,2471266.03951558,3517869.9338844,4884949.84944712,3576566.81726766,704850.48124801,0.197074601778721,2015,NA,496814200915.551
7,805151.02770977,1303496.08012275,1918478.76736063,1324550.5838067,327068.523585407,0.246927922258301,2015,NA,106973819120.338
8,819351.42735091,1178961.7221705,1687827.97347892,1215292.94215058,267543.049987914,0.220146962685778,2015,NA,71579283596.8356
9,2383140.95991276,3088483.8893394,4082604.28233619,3143697.56917181,515577.652532866,0.164003578966628,2015,NA,265820315791.301
10,1935862.21980796,2520573.712137,3221121.2002396,2547299.61631315,414584.537498093,0.162754524376738,2015,NA,171880338732.508
11,3292947.87072414,4314912.81372165,5615966.19568186,4366108.25240292,715950.703147211,0.163979146131611,2015,NA,512585409336.985
12,471581.367081855,685827.87624005,941582.24453448,692407.266938471,153967.29610098,0.22236522268427,2015,NA,23705928268.6468
13,566551.47623073,788652.0456418,1087468.68572701,805530.258079841,161173.065429939,0.200083192174718,2015,NA,25976757020.0834
14,158412.317008095,278238.6157528,439521.37919767,284522.716637693,88558.1110125226,0.31125146019638,2015,NA,7842539026.10628
15,82919.975666165,163251.0743449,262603.65514989,166437.146824194,58358.0532217528,0.350631180210004,2015,NA,3405662375.83294
