"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v","i"
6,4987512.8042123,8337984.02720665,11691979.6884737,8277185.67707308,1996403.98715985,0.241193572918109,2008,24,3985628879947.76,9.06
7,313021.504299825,574934.90431075,884018.814159155,581268.879563854,183139.153630825,0.31506788006308,2008,24,33539949592.6151,0.53
8,194141.384542805,431940.76309905,721652.042830705,444908.514053457,170321.019038068,0.382822566118848,2008,24,29009249526.166,0.476
9,951033.016235815,1682033.56636705,2544645.87658554,1682989.34794996,469717.547186379,0.279097159918772,2008,24,220634574134.789,1.599
10,868439.70464072,1578190.00890415,2549497.82173923,1622225.46433717,525827.739498952,0.32413973954835,2008,24,276494811626.578,1.6
11,67681.176361625,168950.5583287,312112.564246465,175502.220852603,75060.8760229357,0.427691887078605,2008,24,5634135109.33053,0.153
12,25372.285333725,76015.00279695,154201.82478494,81331.2112278446,43052.378356552,0.529346332196422,2008,24,1853507282.15571,NA
13,0,47168.69809095,107605.07072019,45564.3318754748,38482.114988211,0.844566646853966,2008,24,1480873173.9659,NA
14,30692.40198076,100968.4460371,252042.69838439,116433.838520274,73011.0802038583,0.627060664938442,2008,24,5330617832.53423,NA
15,0,84567.46918015,259568.897144935,101077.659604554,79804.0060276801,0.789531597188712,2008,24,6368679378.06601,NA
16,22802.68385135,65377.01452295,152593.227005485,74997.7596502882,41288.005196473,0.5505231808123,2008,24,1704699373.10398,NA
2,0,11128.8425658,41551.80236788,13520.9605063526,15067.2653351858,1.11436353416658,2007,29,227022484.680892,NA
3,16952.92459941,268040.9641889,813948.928461405,299108.30820331,273103.496629543,0.913058879139891,2007,29,74585519871.2829,0.369
4,956258.12624597,1481287.17566495,2162971.31303155,1514263.88250407,365462.100346732,0.241346375997811,2007,29,133562546789.845,1.594
5,8293026.75531161,10913104.1297921,14008211.8589719,11034177.4202602,1743836.03557787,0.158039513881294,2007,29,3040964118979.93,12.175
6,392435.755640275,592677.3018333,1000253.7363513,624238.306816653,186795.97173894,0.29923823914543,2007,29,34892735057.8948,0.622
7,390710.32941283,567023.89461495,794676.771982635,575930.443086114,131222.230107746,0.227843885807796,2007,29,17219273674.4503,0.646
8,1813772.50619414,2465426.33920585,3335478.49852453,2510508.89811529,457719.783301843,0.182321514034651,2007,29,209507400025.886,2.842
9,1971241.3258627,2726604.6186317,3690365.32121024,2752261.80051681,515569.937814644,0.1873259069024,2007,29,265812360778.196,3.258
10,47283.750691755,142606.47780475,265015.31312843,146580.708486295,68261.1876730934,0.465690119648151,2007,29,4659589742.54128,0.137
11,124542.17496297,238619.44498315,384756.968167815,243266.987263718,80827.3222213927,0.332257669363786,2007,29,6533056017.48085,0.223
12,11623.240583055,39640.65084755,84726.0819837649,42992.099967438,25119.4790784129,0.584281277198329,2007,29,630988229.170825,NA
13,95392.54133149,212665.333978,382710.94418178,221403.776483951,90720.1457849048,0.409749766808882,2007,29,8230144851.23439,NA
14,156737.339957685,307642.44123365,513027.0457763,319780.39974162,111712.17272275,0.349340274804248,2007,29,12479609534.4375,NA
15,213579.527272585,414956.6850545,655468.730978349,420506.586864262,135655.887169255,0.322601099261839,2007,29,18402519723.6777,NA
16,12636.47929461,59967.40080445,120966.53214159,63910.802693409,34582.0956224906,0.541099378588418,2007,29,1195921337.64308,NA
3,0,40368.0018355,114990.798775085,50432.2247320788,37636.508733045,0.746278970102727,2006,28,1416506789.61258,0.098
4,3438319.41602713,4596928.04902865,6000014.41378526,4669114.03202547,804557.832500767,0.172314881791771,2006,28,647313305838.333,6.073
5,236441.625057595,444979.07637665,637944.162036295,444170.599411221,124870.713526777,0.281132325490029,2006,28,15592695096.6863,0.478
6,486251.703157625,716410.9614415,998012.93544563,724598.908415453,155809.023028901,0.215027957148904,2006,28,24276451657.2206,0.912
7,2065954.68758549,2812826.50735955,3718777.84221272,2835683.96677073,506911.067849592,0.178761481811692,2006,28,256958830708.413,3.291
8,2313306.9567765,2994786.7765534,3889586.31981785,3025641.95187547,490971.11006903,0.16227006297447,2006,28,241052630922.416,3.29
9,71955.57067776,129378.5744072,198912.945119695,130279.489929509,38704.4192906997,0.297087586938218,2006,28,1498032072.63029,0.122
10,22752.49484714,62582.04484355,121901.33002112,65563.0076850066,30094.7195251596,0.459019812967517,2006,28,905692143.298022,0.067
11,0,10576.1825797,46247.52940288,13783.4662602602,15043.3526463055,1.09140562774675,2006,28,226302458.841105,0.025
12,30276.513029645,92304.0321551,174072.546634775,96396.9521844558,41991.6820648977,0.435612134132068,2006,28,1763301362.63945,NA
13,10309.251984435,61749.1721502,118634.105349975,61594.5514781196,31629.7936898239,0.513516097297338,2006,28,1000443848.86083,NA
14,47031.09858871,139518.4559059,217435.16658158,137886.884017261,49790.0619817369,0.361093532112191,2006,28,2479050272.1452,NA
15,9284.49831182,40986.0964472,75078.77674126,41787.5394402088,20840.8501050315,0.498733602988312,2006,28,434341033.100393,NA
2,0,50232.666963,151947.3581276,57397.687581725,53856.6021684712,0.938306131092617,2005,29,2900533597.13297,NA
3,53118.641890665,147652.31245215,293680.403130075,159014.27430682,78452.817093254,0.493369651468384,2005,29,6154844509.86757,0.27
4,247323.09057916,598875.57021875,1148037.03642846,619024.504994484,285042.61510022,0.460470648254483,2005,29,81249292423.1724,0.662
5,1034178.40112822,1437446.23938615,2054891.0588865,1471092.74367048,308202.357564892,0.209505728915436,2005,29,94988693208.5575,2.086
6,2810707.50121866,3661989.7769293,4618293.04817896,3685598.61646559,562356.588538487,0.152582157488917,2005,29,316244932672.645,5.871
7,4423151.93493987,5647722.7425408,7080093.90643017,5715829.78760745,826682.646780975,0.144630382201603,2005,29,683404198488.798,8.223
8,297921.46227434,458505.6496601,642208.18285983,461267.80300075,113050.886404833,0.245087312986919,2005,29,12780502916.9186,0.66
9,197371.86160966,314081.35931545,726072.476577295,372166.472280552,163080.159580872,0.438191432402692,2005,29,26595138448.9226,0.457
10,34549.24982383,119138.1608358,256473.836327,131322.111565914,67126.9126806087,0.511162300698431,2005,29,4506022406.03007,0.183
11,15301.91827831,66370.78903195,139743.256550525,71492.329108063,39156.8026879207,0.547706350827288,2005,29,1533255196.74075,0.113
12,204641.541699865,354815.65568815,537883.963090025,360604.719218782,100959.480716472,0.279972710660003,2005,29,10192816746.5396,NA
13,346106.81071066,651669.19148285,1041971.01862324,679627.728552507,220067.466040202,0.323805896661852,2005,29,48429689609.3556,NA
14,200124.10846491,336488.04407405,551364.756704025,348221.870076935,104552.761407286,0.300247544429609,2005,29,10931279917.8889,NA
2,200168.421395505,903337.10456575,2188746.71879792,1017520.26273177,599484.46212025,0.589162185832833,2000,84,359381620323.605,NA
3,123880.359271435,429248.45214365,1061368.00005167,492885.505849137,299914.46454135,0.608487084692541,2000,84,89948686041.1244,0.672
4,1072037.79566007,1850618.42470005,3129388.37554358,1939784.16631949,609399.077514408,0.314158187336208,2000,84,371367235675.412,2.617
5,34265.831498295,75529.2152417,126696.316744355,77211.528159301,28083.9364668967,0.363727245612268,2000,84,788707487.476688,0.103
6,252827.81193203,356143.05266925,505961.86176758,364578.115692156,78494.2440451949,0.215301579186048,2000,84,6161346348.22662,0.485
7,651502.21138156,888663.05108825,1146765.61157086,889357.910203246,150433.328813485,0.169148244016975,2000,84,22630186417.9062,1.139
8,2299465.69234025,3230125.79528655,4272065.46747906,3259740.90622979,615667.953079451,0.18887021109648,2000,84,379047028449.041,4.193
9,1697014.81788689,2213432.66596395,3089951.7661535,2269956.63459683,417461.851118143,0.183907412483362,2000,84,174274397138.987,2.864
10,282326.635861215,391196.73588445,549185.363981455,401006.316848046,81661.0871545177,0.203640400970197,2000,84,6668533155.25773,0.547
11,19752.774934645,43123.51101385,79824.441249035,45150.4538836586,18474.9133743166,0.409185551532258,2000,84,341322424.188504,0.048
12,0,1793.4904505,6257.50978140999,2137.1330291906,2515.81150926154,1.17718994320833,2000,84,6329307.55013281,NA
13,0,0,0,0,0,NA,2000,84,0,NA
14,0,6328.23618415,21285.294763085,7467.6458399506,7334.64217314916,0.982189344587032,2000,84,53796975.8081382,NA
15,32325.72147177,81425.13926305,144165.41924831,83923.606761206,33750.759306955,0.402160495830316,2000,84,1139113753.79601,NA
16,0,0,0,0,0,NA,2000,84,0,NA
17,30269.19635359,87958.16937785,177656.82871556,93504.3431346342,44891.3549426891,0.480099142325949,2000,84,2015233748.5905,NA
2,38680.54036717,77703.27702335,130895.70836083,80214.7918201794,29304.7741086957,0.365328805868989,1999,118,858769785.561683,NA
3,596809.44921511,1099892.93711735,1765270.77548666,1127970.41147289,354564.421863337,0.314338406625712,1999,118,125715929251.282,1.572
4,160278.2465749,239179.36140875,364784.80200827,248412.241101687,63537.6743697989,0.255775134462032,1999,118,4037036064.3226,0.379
5,602992.54198949,795187.46798945,1023806.36313077,802792.164767801,128535.779653975,0.160110904534242,1999,118,16521446651.2552,1.366
6,1141426.43264507,1476613.3423699,1954915.67979498,1501429.30895969,243091.276368417,0.16190657456717,1999,118,59093368646.4263,2.593
7,3942464.43557729,4702715.9459529,5591634.09171082,4734215.725222,509550.711002064,0.107631493910888,1999,118,259641927082.709,9.356
8,3129967.40926626,3809030.73754655,4565975.47759537,3829416.20406271,444041.977902163,0.115955528007394,1999,118,197173278139.265,6.979
9,749630.114108155,905999.3112878,1104435.79107203,914332.685944739,109323.799344236,0.119566762760183,1999,118,11951693103.0587,1.632
10,222657.829692655,286082.39120335,363894.82313145,289692.850196084,44058.3217654439,0.152086327762739,1999,118,1941135716.78738,0.495
